id,nume,brand,categorie,pret,tip_ten,subton,nuanta,finish,ocazie,acoperire,ingrediente_cheie,vegan,cruelty_free,rating,descriere,tip_produs,contrast,baza,origine,probleme,fungal_acne_safe,suited_eye_color,suited_hair_color,activ
121,Accord Parfait Concealer,L'Oreal Paris,Corector,45.0,normal|mixt,neutru|cald,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,Aspect natural,makeup,toate,toate,Europa,,,toate,toate,1
122,Radiance Reveal Concealer,Bourjois,Corector,45.0,uscat|normal,cald|neutru,deschis|mediu,luminos,zi,toate,,Nu,Nu,4.0,Iluminator sub ochi,makeup,toate,toate,Europa (FR),,,toate,toate,1
123,HD Photogenic Concealer Wand,NYX,Corector,35.0,toate,neutru|cald,deschis|inchis,natural,zi,toate,,Nu,Nu,4.0,"Cult, gama buna",makeup,toate,toate,Europa/global,,,toate,toate,1
124,Can't Stop Won't Stop Concealer,NYX,Corector,35.0,mixt|gras,neutru|cald,deschis|inchis,mat,zi,toate,,Nu,Nu,4.0,"Long-wear, mat",makeup,toate,toate,Europa/global,,,toate,toate,1
125,Match Perfection Concealer,Rimmel,Corector,35.0,normal|mixt,neutru|cald,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Europa (UK),,,toate,toate,1
126,Full Coverage Concealer,Kiko Milano,Corector,45.0,toate,neutru|cald,deschis|inchis,natural,zi,toate,,Nu,Nu,4.0,Acoperire mare,makeup,toate,toate,Europa (IT),,,toate,toate,1
127,Art Scenic Professional Concealer,Eveline,Corector,25.0,normal|mixt,neutru,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Europa (PL),,,toate,toate,1
128,Mr White Concealer,Wibo,Corector,25.0,normal|mixt,neutru,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,Foarte ieftin,makeup,toate,toate,Europa (PL),,,toate,toate,1
129,Kill Brow Auto Hard Brow Pencil,CLIO,Creion de sprancene,35.0,toate,cald|neutru,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,"Mina subtire, fina",makeup,toate,toate,Coreea,,,toate,toate,1
130,Drawing Eyebrow Pencil,Etude,Creion de sprancene,27.5,toate,cald|neutru,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,"Cult, ieftin, multe nuante",makeup,toate,toate,Coreea,,,toate,toate,1
131,Auto Eyebrow Pencil,Innisfree,Creion de sprancene,35.0,toate,cald|neutru,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Coreea,,,toate,toate,1
132,Speedy Skinny Brow,Peripera,Creion de sprancene,35.0,toate,cald|neutru,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Mina ultra-subtire,makeup,toate,toate,Coreea,,,toate,toate,1
133,Wonder Drawing 24hr Eyebrow,Holika Holika,Creion de sprancene,27.5,toate,cald|neutru,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Long-wear,makeup,toate,toate,Coreea,,,toate,toate,1
134,Perfect Eyebrow Styler,Missha,Creion de sprancene,27.5,toate,cald|neutru,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Auto pencil,makeup,toate,toate,Coreea,,,toate,toate,1
135,Han All Flat Brow Pencil,rom&nd,Creion de sprancene,35.0,toate,neutru|cald,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Tonuri naturale,makeup,toate,toate,Coreea,,,toate,toate,1
136,Natural Mood Eyebrow,A'pieu,Creion de sprancene,27.5,toate,cald,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Ieftin,makeup,toate,toate,Coreea,,,toate,toate,1
137,Soft Blurring Eyebrow Pencil,Wakemake,Creion de sprancene,35.0,toate,neutru,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Efect natural,makeup,toate,toate,Coreea,,,toate,toate,1
138,Skinny Mes Brow Pencil,Lilybyred,Creion de sprancene,35.0,toate,neutru|cald,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Subtire,makeup,toate,toate,Coreea,,,toate,toate,1
139,I'm Eyebrow Pencil,I'm Meme,Creion de sprancene,27.5,toate,cald,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Coreea,,,toate,toate,1
140,Easy Touch Auto Eyebrow,Tony Moly,Creion de sprancene,27.5,toate,cald,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Auto,makeup,toate,toate,Coreea,,,toate,toate,1
141,Custom Eyebrow Pencil,Dasique,Creion de sprancene,35.0,toate,neutru|cald,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Tonuri trendy,makeup,toate,toate,Coreea,,,toate,toate,1
142,Top Bar Eyebrow Pencil,3CE,Creion de sprancene,57.5,toate,neutru|cald,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Premium-ish,makeup,toate,toate,Coreea,,,toate,toate,1
143,Pro Tail Mes Brow,Moonshot,Creion de sprancene,35.0,toate,neutru,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Subtire,makeup,toate,toate,Coreea,,,toate,toate,1
144,Slim'Matic Ultra Precise Brow Pencil,Catrice,Creion de sprancene,27.5,toate,cald|neutru,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,"Cult, mina fina, multe nuante",makeup,toate,toate,Europa (DE),,,toate,toate,1
145,Eyebrow Designer / Micro Precise,Essence,Creion de sprancene,20.0,toate,cald|neutru,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Foarte ieftin,makeup,toate,toate,Europa (DE),,,toate,toate,1
146,Brow Ultra Slim,Maybelline,Creion de sprancene,27.5,toate,cald|neutru,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Mina ultra-subtire,makeup,toate,toate,Europa/global,,,toate,toate,1
147,Express Brow Satin Duo,Maybelline,Creion de sprancene,27.5,toate,cald|neutru,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Creion + pudra,makeup,toate,toate,Europa/global,,,toate,toate,1
148,Brow Artist Xpert,L'Oreal Paris,Creion de sprancene,35.0,toate,cald|neutru,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,"Auto, gama buna",makeup,toate,toate,Europa,,,toate,toate,1
149,Brow This Way / Professional Eyebrow,Rimmel,Creion de sprancene,27.5,toate,cald,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Europa (UK),,,toate,toate,1
150,Brow Reveal,Bourjois,Creion de sprancene,35.0,toate,cald|neutru,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Cu pensula,makeup,toate,toate,Europa (FR),,,toate,toate,1
151,Micro Brow Pencil,NYX,Creion de sprancene,27.5,toate,neutru|cald,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,"Cult, multe nuante",makeup,toate,toate,Europa/global,,,toate,toate,1
152,Precision Brow Pencil,NYX,Creion de sprancene,27.5,toate,cald,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Clasic,makeup,toate,toate,Europa/global,,,toate,toate,1
153,Precision Eyebrow Pencil,Kiko Milano,Creion de sprancene,35.0,toate,neutru|cald,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Fin,makeup,toate,toate,Europa (IT),,,toate,toate,1
154,Micro Precise Brow Pencil,Eveline,Creion de sprancene,20.0,toate,cald,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Ieftin,makeup,toate,toate,Europa (PL),,,toate,toate,1
155,Eye Artist Brow,Astor,Creion de sprancene,27.5,toate,cald,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Europa,,,toate,toate,1
156,Feel It Brow Pencil,Wibo,Creion de sprancene,20.0,toate,cald,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Foarte ieftin,makeup,toate,toate,Europa (PL),,,toate,toate,1
157,High Definition Eyebrow Pencil,Pupa,Creion de sprancene,27.5,toate,neutru|cald,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Precis,makeup,toate,toate,Europa (IT),,,toate,toate,1
158,Brow Intensity Pencil,Sleek,Creion de sprancene,27.5,toate,neutru|cald,blond|brunet,mat,zi,toate,,Nu,Nu,4.0,Gama buna nuante reci,makeup,toate,toate,Europa (UK),,,toate,toate,1
159,Better Than Cheek,rom&nd,Fard de obraz,50.0,toate,cald|neutru|rece,toate,mat|satinat,zi,toate,,Nu,Nu,4.0,"Pudra, tonuri MLBB foarte populare",makeup,deschis|mediu,toate,Coreea,,,toate,toate,1
160,Pure Blushed Sunshine Cheek,Peripera,Fard de obraz,50.0,toate,cald|rece|neutru,toate,mat|satinat,zi,toate,,Nu,Nu,4.0,"Pudra, gama trendy",makeup,deschis|mediu,toate,Coreea,,,toate,toate,1
161,Pro Blusher,CLIO,Fard de obraz,50.0,toate,neutru|cald,toate,mat|satinat,zi,toate,,Nu,Nu,4.0,Pigmentat,makeup,toate,toate,Coreea,,,toate,blonde|red|brunette,1
162,Lovely Cookie Blusher,Etude,Fard de obraz,40.0,toate,cald|rece,toate,mat|satinat,zi,toate,,Nu,Nu,4.0,Clasic accesibil,makeup,deschis|mediu,toate,Coreea,,,toate,toate,1
163,Mood Recipe Face Blush,3CE,Fard de obraz,80.0,toate,neutru|rece,toate,mat,zi,toate,,Nu,Nu,4.0,Tonuri estompate trendy,makeup,toate,toate,Coreea,,,toate,black|brunette,1
164,Multi Eye Color Palette/Blush,3CE,Fard de obraz,80.0,toate,neutru|cald,toate,mat,zi,toate,,Nu,Nu,4.0,Versatil,makeup,toate,toate,Coreea,,,toate,blonde|red|brunette,1
165,Blending Mood Cheek,Dasique,Fard de obraz,50.0,toate,cald|rece|neutru,toate,mat|satinat,zi,toate,,Nu,Nu,4.0,Paleta multi-nuante,makeup,deschis|mediu,toate,Coreea,,,toate,toate,1
166,Soft Blurring Cheek,Wakemake,Fard de obraz,50.0,toate,neutru,toate,mat|blur,zi,toate,,Nu,Nu,4.0,Efect blur,makeup,deschis|mediu,toate,Coreea,,,toate,toate,1
167,Luv Beam Cheek,Lilybyred,Fard de obraz,50.0,toate,cald|rece,toate,satinat,zi,toate,,Nu,Nu,4.0,Subtil luminos,makeup,deschis|mediu,toate,Coreea,,,toate,toate,1
168,The Sleek Cheek,Espoir,Fard de obraz,80.0,toate,neutru|cald,toate,mat,zi,toate,,Nu,Nu,4.0,Catifelat,makeup,toate,toate,Coreea,,,toate,blonde|red|brunette,1
169,True Dimension Glow Cheek,Hince,Fard de obraz,80.0,uscat|normal,neutru|cald,toate,luminos,zi,toate,,Nu,Nu,4.0,Glow,makeup,deschis|mediu,toate,Coreea,,,toate,blonde|red|brunette,1
170,My Palette Blush,Innisfree,Fard de obraz,50.0,toate,cald|rece,toate,mat|satinat,zi,toate,,Nu,Nu,4.0,Refill system,makeup,toate,toate,Coreea,,,toate,toate,1
171,Dailism Blusher,Heimish,Fard de obraz,50.0,toate,neutru,toate,mat,zi,toate,,Nu,Nu,4.0,Tonuri naturale,makeup,deschis|mediu,toate,Coreea,,,toate,toate,1
172,Holy Cheek (cream),Mille,Fard de obraz,40.0,uscat|normal,cald|rece,toate,luminos,zi,toate,,Nu,Nu,4.0,"Crema, dewy",makeup,deschis|mediu,toate,Coreea/Asia,,,toate,toate,1
173,Ggfocci Cheek,Amok,Fard de obraz,50.0,toate,neutru,toate,satinat,zi,toate,,Nu,Nu,4.0,Mai putin cunoscut,makeup,toate,toate,Coreea,,,toate,toate,1
174,Blush Affair / Cheek Affair,Catrice,Fard de obraz,40.0,toate,cald|rece,toate,mat|satinat,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Europa (DE),,,toate,toate,1
175,Blush Crush / Satin Touch,Essence,Fard de obraz,27.5,toate,cald|rece,toate,mat|satinat,zi,toate,,Nu,Nu,4.0,Foarte ieftin,makeup,toate,toate,Europa (DE),,,toate,toate,1
176,Fit Me Blush,Maybelline,Fard de obraz,40.0,toate,cald|rece|neutru,toate,mat,zi,toate,,Nu,Nu,4.0,Clasic,makeup,toate,toate,Europa/global,,,toate,toate,1
177,Cheek Heat (gel-cream),Maybelline,Fard de obraz,40.0,uscat|normal|mixt,cald|rece,toate,luminos,zi,toate,,Nu,Nu,4.0,Gel-crema dewy,makeup,deschis|mediu,toate,Europa/global,,,toate,toate,1
178,Blush Filler / True Match Blush,L'Oreal Paris,Fard de obraz,50.0,toate,cald|rece|neutru,toate,satinat,zi,toate,,Nu,Nu,4.0,Asortat cu fondul,makeup,toate,toate,Europa,,,toate,toate,1
179,Little Round Pot Blush,Bourjois,Fard de obraz,50.0,toate,cald|rece,toate,satinat,zi,toate,,Nu,Nu,4.0,"Cult, parfumat",makeup,toate,toate,Europa (FR),,,toate,toate,1
180,Sweet Cheeks Blush,NYX,Fard de obraz,40.0,toate,cald|rece|neutru,toate,mat|satinat,zi,toate,,Nu,Nu,4.0,Gama larga,makeup,toate,toate,Europa/global,,,toate,toate,1
181,Powder Blush,NYX,Fard de obraz,40.0,toate,cald|rece,toate,mat,zi,toate,,Nu,Nu,4.0,Pigmentat,makeup,toate,toate,Europa/global,,,toate,toate,1
182,Lasting Finish Blush,Rimmel,Fard de obraz,40.0,toate,cald,toate,satinat,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Europa (UK),,,toate,blonde|red|brunette,1
183,Velvet Touch Blush,Kiko Milano,Fard de obraz,50.0,toate,cald|rece|neutru,toate,satinat,zi,toate,,Nu,Nu,4.0,Gama buna,makeup,toate,toate,Europa (IT),,,toate,toate,1
184,Blush by 3 Palette,Sleek,Fard de obraz,40.0,toate,cald|rece,toate,mat|satinat,zi,toate,,Nu,Nu,4.0,"Tonuri intense, ten inchis ok",makeup,toate,toate,Europa (UK),,,toate,toate,1
185,Like a Doll Blush,Pupa,Fard de obraz,40.0,toate,cald|rece,toate,mat|satinat,zi,toate,,Nu,Nu,4.0,Italian,makeup,toate,toate,Europa (IT),,,toate,toate,1
186,All in One Blush,Eveline,Fard de obraz,27.5,toate,cald,toate,satinat,zi,toate,,Nu,Nu,4.0,Ieftin,makeup,toate,toate,Europa (PL),,,toate,blonde|red|brunette,1
187,Cheek Lover Oil-Infused Blush,Catrice,Fard de obraz,40.0,uscat|normal,cald|rece,toate,luminos,zi,toate,,Nu,Nu,4.0,Lichid dewy,makeup,deschis|mediu,toate,Europa (DE),,,toate,toate,1
188,Soft Blush,Wibo,Fard de obraz,27.5,toate,cald|rece,toate,mat,zi,toate,,Nu,Nu,4.0,Foarte ieftin,makeup,toate,toate,Europa (PL),,,toate,toate,1
189,Shadow Palette (seria),Dasique,Fard de pleoape,75.0,toate,cald|rece|neutru,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,Paletele cele mai populare K-beauty,makeup,toate,toate,Coreea,,,toate,toate,1
190,All Take Mood Palette,Peripera,Fard de pleoape,75.0,toate,cald|rece|neutru,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,Tonuri zilnice,makeup,toate,toate,Coreea,,,toate,toate,1
191,Soft Blurring Eye Palette,Wakemake,Fard de pleoape,75.0,toate,neutru|cald,toate,mat|blur,zi,toate,,Nu,Nu,4.0,Efect estompat,makeup,toate,toate,Coreea,,,blue|green,toate,1
192,Pro Eye Palette,CLIO,Fard de pleoape,75.0,toate,cald|rece|neutru,toate,mat|shimmer|glitter,zi,toate,,Nu,Nu,4.0,"Pigmentat, glitter fin",makeup,toate,toate,Coreea,,,toate,toate,1
193,Better Than Eyes,rom&nd,Fard de pleoape,75.0,toate,cald|neutru,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,Tonuri MLBB,makeup,toate,toate,Coreea,,,blue|green,toate,1
194,Multi Eye Color Palette,3CE,Fard de pleoape,120.0,toate,neutru|cald,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,"Trendy, estompate",makeup,toate,toate,Coreea,,,blue|green,toate,1
195,Play Color Eyes,Etude,Fard de pleoape,57.5,toate,cald|rece,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,Tematice (cherry blossom etc.),makeup,toate,toate,Coreea,,,toate,toate,1
196,Little Bitty Moment Shadow Palette,Lilybyred,Fard de pleoape,75.0,toate,cald|rece,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Coreea,,,toate,toate,1
197,Glitterpedia Eye Palette,Unleashia,Fard de pleoape,120.0,toate,neutru|cald|rece,toate,glitter|shimmer,zi,toate,,Nu,Nu,4.0,Glitter premium,makeup,toate,toate,Coreea,,,toate,toate,1
198,New Depth Eyeshadow Palette,Hince,Fard de pleoape,120.0,toate,neutru|cald,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,"Premium, estompate",makeup,toate,toate,Coreea,,,blue|green,toate,1
199,Real Eye Palette,Espoir,Fard de pleoape,120.0,toate,neutru|cald,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,Calitate buna,makeup,toate,toate,Coreea,,,blue|green,toate,1
200,Tailored Eyeshadow,Moonshot,Fard de pleoape,75.0,toate,neutru,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,Single + palete,makeup,toate,toate,Coreea,,,toate,toate,1
201,Eye Vegan Shadow,Amuse,Fard de pleoape,75.0,sensibil|toate,cald|neutru,toate,satinat,zi,toate,,Nu,Nu,4.0,"Vegan, ten sensibil",makeup,toate,toate,Coreea,,,blue|green,toate,1
202,My Palette Eyeshadow,Innisfree,Fard de pleoape,75.0,toate,cald|rece,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,Refill single,makeup,toate,toate,Coreea,,,toate,toate,1
203,Piece Matching Shadow,Holika Holika,Fard de pleoape,57.5,toate,cald|rece,toate,mat|shimmer|glitter,zi,toate,,Nu,Nu,4.0,Single accesibil,makeup,toate,toate,Coreea,,,toate,toate,1
204,The Collection / 9 Pan Palette,Catrice,Fard de pleoape,57.5,toate,cald|rece|neutru,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,Cult ieftin,makeup,toate,toate,Europa (DE),,,toate,toate,1
205,The Eyeshadow / 9 in 1 Palette,Essence,Fard de pleoape,40.0,toate,cald|rece|neutru,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,Foarte ieftin,makeup,toate,toate,Europa (DE),,,toate,toate,1
206,The Nudes / Gigi Hadid Palette,Maybelline,Fard de pleoape,57.5,toate,cald|neutru,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,Clasic nude,makeup,toate,toate,Europa/global,,,blue|green,toate,1
207,La Palette Nude,L'Oreal Paris,Fard de pleoape,75.0,toate,cald|rece,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,Tonuri nude calde/reci,makeup,toate,toate,Europa,,,toate,toate,1
208,Ultimate Shadow Palette,NYX,Fard de pleoape,57.5,toate,cald|rece|neutru,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,"Gama uriasa, ten inchis ok",makeup,toate,toate,Europa/global,,,toate,toate,1
209,Vivid Brights / Single,NYX,Fard de pleoape,57.5,toate,toate,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,Culori intense,makeup,toate,toate,Europa/global,,,toate,toate,1
210,Soft Shadow / Eyeshadow Palette,Kiko Milano,Fard de pleoape,75.0,toate,cald|rece|neutru,toate,mat|shimmer|metalic,zi,toate,,Nu,Nu,4.0,Gama foarte mare,makeup,toate,toate,Europa (IT),,,toate,toate,1
211,i-Divine Palette,Sleek,Fard de pleoape,57.5,toate,cald|rece|neutru,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,"Pigmentat, ten inchis ok",makeup,toate,toate,Europa (UK),,,toate,toate,1
212,Quad Eyeshadow,Bourjois,Fard de pleoape,75.0,toate,cald|rece,toate,satinat,zi,toate,,Nu,Nu,4.0,Estompabil,makeup,toate,toate,Europa (FR),,,toate,toate,1
213,Magnif'Eyes Palette,Rimmel,Fard de pleoape,57.5,toate,cald|neutru,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Europa (UK),,,blue|green,toate,1
214,Vamp! Eyeshadow,Pupa,Fard de pleoape,57.5,toate,cald|rece,toate,mat|metalic,zi,toate,,Nu,Nu,4.0,Single intens,makeup,toate,toate,Europa (IT),,,toate,toate,1
215,Feel It Eyeshadow Palette,Wibo,Fard de pleoape,40.0,toate,cald|neutru,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,Foarte ieftin,makeup,toate,toate,Europa (PL),,,blue|green,toate,1
216,All In One Eyeshadow Palette,Eveline,Fard de pleoape,40.0,toate,cald|neutru,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,Ieftin,makeup,toate,toate,Europa (PL),,,blue|green,toate,1
217,Single Eyeshadow,Catrice,Fard de pleoape,57.5,toate,cald|rece,toate,mat|shimmer|metalic,zi,toate,,Nu,Nu,4.0,Single accesibil,makeup,toate,toate,Europa (DE),,,toate,toate,1
218,Reloaded / Forever Flawless Palette,Revolution,Fard de pleoape,57.5,toate,cald|rece|neutru,toate,mat|shimmer,zi,toate,,Nu,Nu,4.0,"Gama uriasa, ieftin",makeup,toate,toate,Europa (UK),,,toate,toate,1
219,No Sebum Mineral Powder,Innisfree,Pudra,55.0,gras|mixt,neutru,translucid|deschis,mat,zi,toate,,Nu,Nu,4.0,"Cult, control sebum, pudra libera",makeup,toate,toate,Coreea,,,toate,toate,1
220,No Sebum Blur Powder,Innisfree,Pudra,55.0,gras|mixt,neutru,translucid,mat|blur,zi,toate,,Nu,Nu,4.0,"Efect blur, matifiant",makeup,toate,toate,Coreea,,,toate,toate,1
221,Kill Cover Airwear Mesh Powder Pact,CLIO,Pudra,55.0,mixt|normal,neutru|cald,deschis|mediu,natural|mat,zi,toate,,Nu,Nu,4.0,Pudra compacta cu acoperire,makeup,toate,toate,Coreea,,,toate,toate,1
222,Speedy Skinny Powder Pact,Peripera,Pudra,55.0,gras|mixt,neutru,deschis|mediu,mat,zi,toate,,Nu,Nu,4.0,Compacta,makeup,toate,toate,Coreea,,,toate,toate,1
223,Saemmul Perfect Pore Powder,The Saem,Pudra,42.5,gras|mixt,neutru,translucid,mat,zi,toate,,Nu,Nu,4.0,Minimizeaza porii,makeup,toate,toate,Coreea,,,toate,toate,1
224,No Sebum Powder,A'pieu,Pudra,42.5,gras|mixt,neutru,translucid,mat,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Coreea,,,toate,toate,1
225,Lookat My Eyes / Air Powder Pact,Etude,Pudra,42.5,normal|mixt,neutru|cald,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,Compacta,makeup,toate,toate,Coreea,,,toate,toate,1
226,Pro Touch Powder Pact,Missha,Pudra,42.5,toate,cald|neutru,deschis|mediu,satinat,zi,toate,,Nu,Nu,4.0,Clasic,makeup,toate,toate,Coreea,,,toate,toate,1
227,Bare Setting Powder,rom&nd,Pudra,55.0,toate,neutru,translucid|deschis,natural,zi,toate,,Nu,Nu,4.0,Setare aspect natural,makeup,toate,toate,Coreea,,,toate,toate,1
228,Sebum Control Powder,Holika Holika,Pudra,42.5,gras,neutru,translucid,mat,zi,toate,,Nu,Nu,4.0,Control sebum,makeup,toate,toate,Coreea,,,toate,toate,1
229,No Sebum Sun Powder,Espoir,Pudra,87.5,gras|mixt,neutru,translucid,mat,zi,toate,,Nu,Nu,4.0,SPF + matifiant,makeup,toate,toate,Coreea,,,toate,toate,1
230,Egg Pore Silky Smooth Balm/Powder,TONYMOLY,Pudra,42.5,gras|mixt,neutru,translucid,mat|blur,zi,toate,,Nu,Nu,4.0,Minimizeaza porii,makeup,toate,toate,Coreea,,,toate,toate,1
231,I'm Multi Powder,I'm Meme,Pudra,42.5,toate,neutru|cald,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Coreea,,,toate,toate,1
232,All Matt Plus Shine Control Powder,Catrice,Pudra,42.5,gras|mixt,neutru|cald,deschis|inchis,mat,zi,toate,,Nu,Nu,4.0,"Cult ieftin, matifiant",makeup,toate,toate,Europa (DE),,,toate,toate,1
233,Setting Powder (loose),Catrice,Pudra,42.5,toate,neutru,translucid,natural,zi,toate,,Nu,Nu,4.0,Setare,makeup,toate,toate,Europa (DE),,,toate,toate,1
234,Mattifying Compact Powder,Essence,Pudra,30.0,gras|mixt,neutru|cald,deschis|mediu,mat,zi,toate,,Nu,Nu,4.0,Foarte ieftin,makeup,toate,toate,Europa (DE),,,toate,toate,1
235,Fixing Loose Setting Powder,Essence,Pudra,30.0,toate,neutru,translucid,natural,zi,toate,,Nu,Nu,4.0,Setare ieftin,makeup,toate,toate,Europa (DE),,,toate,toate,1
236,Fit Me Matte + Poreless Powder,Maybelline,Pudra,42.5,gras|mixt,neutru|cald,deschis|inchis,mat,zi,toate,,Nu,Nu,4.0,Asortat cu Fit Me,makeup,toate,toate,Europa/global,,,toate,toate,1
237,Infaillible 24H Setting Powder,L'Oreal Paris,Pudra,55.0,toate,neutru,translucid,natural,zi,toate,,Nu,Nu,4.0,Setare long-wear,makeup,toate,toate,Europa,,,toate,toate,1
238,Stay Matte Pressed Powder,Rimmel,Pudra,42.5,gras|mixt,cald|neutru,deschis|mediu,mat,zi,toate,,Nu,Nu,4.0,"Cult ieftin, matifiant",makeup,toate,toate,Europa (UK),,,toate,toate,1
239,Healthy Mix Powder,Bourjois,Pudra,55.0,normal|uscat,cald|neutru,deschis|mediu,luminos,zi,toate,,Nu,Nu,4.0,Glow,makeup,toate,toate,Europa (FR),,,toate,toate,1
240,HD Finishing Powder,NYX,Pudra,42.5,toate,neutru,translucid,natural,zi,toate,,Nu,Nu,4.0,"HD, fara flashback",makeup,toate,toate,Europa/global,,,toate,toate,1
241,Can't Stop Won't Stop Powder,NYX,Pudra,42.5,gras|mixt,neutru|cald,deschis|inchis,mat,zi,toate,,Nu,Nu,4.0,Long-wear,makeup,toate,toate,Europa/global,,,toate,toate,1
242,Unlimited / Matte Fusion Powder,Kiko Milano,Pudra,55.0,gras|mixt,neutru|cald,deschis|inchis,mat,zi,toate,,Nu,Nu,4.0,Gama buna,makeup,toate,toate,Europa (IT),,,toate,toate,1
243,Cover + Mattify Powder,Catrice,Pudra,42.5,gras|mixt,neutru|cald,deschis|mediu,mat,zi,toate,,Nu,Nu,4.0,Acoperire usoara,makeup,toate,toate,Europa (DE),,,toate,toate,1
244,Bare Focus / Coverall Powder,Wet n Wild,Pudra,30.0,toate,neutru,translucid,natural,zi,toate,,Nu,Nu,4.0,Ieftin,makeup,toate,toate,Europa/global,,,toate,toate,1
245,Celebrities Beauty Powder,Eveline,Pudra,30.0,toate,cald|neutru,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Europa (PL),,,toate,toate,1
246,Silk Touch Compact Powder,Pupa,Pudra,42.5,normal|mixt,cald|neutru,deschis|mediu,satinat,zi,toate,,Nu,Nu,4.0,Fin,makeup,toate,toate,Europa (IT),,,toate,toate,1
247,Stay Matte Powder,Wibo,Pudra,30.0,gras|mixt,neutru,deschis|mediu,mat,zi,toate,,Nu,Nu,4.0,Foarte ieftin,makeup,toate,toate,Europa (PL),,,toate,toate,1
248,Conceal & Fix Setting Powder,Revolution,Pudra,42.5,toate,neutru,translucid|deschis,natural,zi,toate,,Nu,Nu,4.0,"Setare ieftin, mai multe nuante",makeup,toate,toate,Europa (UK),,,toate,toate,1
249,Glasting Water Gloss / Veil Lighter,rom&nd,Iluminator,55.0,toate,cald|rece|neutru,toate,luminos,zi,toate,,Nu,Nu,4.0,"Glow natural, K-beauty",makeup,toate,toate,Coreea,,,toate,toate,1
250,Prism Air Highlighter,CLIO,Iluminator,55.0,toate,cald|rece,toate,shimmer,zi,toate,,Nu,Nu,4.0,"Cult, fin",makeup,toate,toate,Coreea,,,toate,toate,1
